"url","template","indexable","robots","canonical","in_sitemap"
"https://kindredtrips.com/resort/accra-beach-hotel-and-spa","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/accra-beach-hotel-and-spa","true"
"https://kindredtrips.com/resort/akumal-bay-beach-and-wellness-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/akumal-bay-beach-and-wellness-resort","true"
"https://kindredtrips.com/resort/alaia-belize-autograph-collection","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/alaia-belize-autograph-collection","true"
"https://kindredtrips.com/resort/alexandra-resort-all-inclusive","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/alexandra-resort-all-inclusive","true"
"https://kindredtrips.com/resort/all-ritmo-cancun-resort-and-waterpark","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/all-ritmo-cancun-resort-and-waterpark","true"
"https://kindredtrips.com/resort/allegro-cozumel","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/allegro-cozumel","true"
"https://kindredtrips.com/resort/allegro-playacar","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/allegro-playacar","true"
"https://kindredtrips.com/resort/almare-a-luxury-collection-adult-all-inclusive-resort-isla-mujeres","resort","false","noindex, follow","https://kindredtrips.com/resort/almare-a-luxury-collection-adult-all-inclusive-resort-isla-mujeres","false"
"https://kindredtrips.com/resort/amanyara","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/amanyara","true"
"https://kindredtrips.com/resort/ambergris-cay-private-island-all-inclusive","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/ambergris-cay-private-island-all-inclusive","true"
"https://kindredtrips.com/resort/andaz-peninsula-papagayo-resort-costa-rica","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/andaz-peninsula-papagayo-resort-costa-rica","true"
"https://kindredtrips.com/resort/anse-chastanet-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/anse-chastanet-resort","true"
"https://kindredtrips.com/resort/anthony-s-key-resort","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/anthony-s-key-resort","true"
"https://kindredtrips.com/resort/armar-house-all-inclusive","resort","false","noindex, follow","https://kindredtrips.com/resort/armar-house-all-inclusive","false"
"https://kindredtrips.com/resort/armony-marival-resort-and-spa","resort","false","noindex, follow","https://kindredtrips.com/resort/armony-marival-resort-and-spa","false"
"https://kindredtrips.com/resort/atelier-playa-mujeres","resort","false","noindex, follow","https://kindredtrips.com/resort/atelier-playa-mujeres","false"
"https://kindredtrips.com/resort/ava-resort-cancun","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/ava-resort-cancun","true"
"https://kindredtrips.com/resort/avila-beach-hotel","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/avila-beach-hotel","true"
"https://kindredtrips.com/resort/azul-beach-resort-negril-by-karisma","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/azul-beach-resort-negril-by-karisma","true"
"https://kindredtrips.com/resort/azul-ixtapa-hotels-beach-resort-and-convention-center","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/azul-ixtapa-hotels-beach-resort-and-convention-center","true"
"https://kindredtrips.com/resort/azulik-tulum","resort","false","noindex, follow","https://kindredtrips.com/resort/azulik-tulum","false"
"https://kindredtrips.com/resort/azura-beach-resort","resort","false","noindex, follow","https://kindredtrips.com/resort/azura-beach-resort","false"
"https://kindredtrips.com/resort/bahia-principe-fantasia-punta-cana","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/bahia-principe-fantasia-punta-cana","true"
"https://kindredtrips.com/resort/bahia-principe-grand-aquamarine","resort","false","noindex, follow","https://kindredtrips.com/resort/bahia-principe-grand-aquamarine","false"
"https://kindredtrips.com/resort/bahia-principe-grand-bavaro","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/bahia-principe-grand-bavaro","true"
"https://kindredtrips.com/resort/bahia-principe-grand-coba","resort","true","index, follow, max-image-preview:large","https://kindredtrips.com/resort/bahia-principe-grand-coba","true"
